id_producto,nombre_producto,categoria,precio_unitario
74,Whisky 750ml,Limpieza,2953.0
75,Licor de Café 700ml,Alimentos,3204.0
76,Pizza Congelada Muzzarella,Limpieza,4286.0
77,Empanadas Congeladas,Alimentos,4778.0
78,Verduras Congeladas Mix,Limpieza,4289.0
79,Hamburguesas Congeladas x4,Alimentos,2420.0
80,Helado de Frutilla 1L,Limpieza,1981.0
81,Aceitunas Verdes 200g,Alimentos,2520.0
82,Aceitunas Negras 200g,Limpieza,2394.0
83,Queso Untable 190g,Alimentos,1830.0
84,Queso Azul 150g,Limpieza,1645.0
85,Jugo en Polvo Naranja,Alimentos,1856.0
86,Jugo en Polvo Limón,Limpieza,4090.0
87,Sopa Instantánea Pollo,Alimentos,1679.0
88,Caldo Concentrado Carne,Limpieza,2570.0
89,Caldo Concentrado Verdura,Alimentos,1003.0
90,Toallas Húmedas x50,Limpieza,2902.0
91,Desodorante Aerosol,Alimentos,4690.0
92,Crema Dental 90g,Limpieza,2512.0
93,Cepillo de Dientes,Alimentos,2142.0
94,Hilo Dental,Limpieza,1418.0
95,Mascarilla Capilar,Alimentos,1581.0
96,Suavizante 1L,Limpieza,4920.0
97,Limpiavidrios 500ml,Alimentos,872.0
98,Desengrasante 500ml,Limpieza,2843.0
99,Esponjas x3,Alimentos,2430.0
100,Trapo de Piso,Limpieza,4854.0
101,Pan Integral 500g,Alimentos,0.0
102,Shampoo Anticaspa 400ml,Higiene,-1450.0
103,Crema de Manos 100ml,nan,1890.0
104,Desodorante Roll On,Higiene,
105,Toallitas Desmaquillantes x25,Belleza,2150.0
106,Agua Micelar 200ml,Belleza,999999.0
107,Protector Solar FPS50,Belleza,4580.0
108,Crema Dental Kids 90g,Higiene,1720.0
109,Enjuague Bucal 250ml,Higiene,1980.0
110,Pan Lactal Blanco,Alimentos,1571.0
111,Pan Lactal Blanco,Alimentos,1571.0
112,Barra de Cereal Chocolate,Alimentos,4430.0
113,Barra de Cereal Chocolate,Snacks,4430.0
114,Snack de Arroz 100g,Snacks,
115,Snack de Arroz 100g,Snacks,0.0
116,Agua Saborizada 500ml,Bebidas,3120.0
117,Agua Saborizada 500ml,Bebidas,3120.0
118,Agua Saborizada 500ml,Bebidas,
119,Agua Saborizada 500ml,nan,3120.0
120,Producto Fantasma,Electrónica,99999.0
